pmid	annotator	subject_start_idx	subject_end_idx	subject_location	subject_text_span	subject_label	subject_uri	predicate	object_start_idx	object_end_idx	object_location	object_text_span	object_label	object_uri
38283894	expert_5	412	425	abstract	trace elements	chemical	http://purl.obolibrary.org/obo/NCIT_C896	located in	508	523	abstract	control subjects	human	https://uts.nlm.nih.gov/uts/umls/concept/C0009932
38283894	expert_5	473	496	abstract	autism spectrum disorder	DDF	http://purl.obolibrary.org/obo/OGMS_0000045	target	459	466	abstract	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	499	501	abstract	ASD	DDF	http://purl.obolibrary.org/obo/OGMS_0000045	target	459	466	abstract	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	1394	1396	abstract	ASD	DDF	http://purl.obolibrary.org/obo/OGMS_0000045	target	1380	1387	abstract	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	1432	1439	abstract	oxytocin	chemical	http://purl.obolibrary.org/obo/CHEBI_7872	located in	1380	1387	abstract	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	1522	1525	abstract	iron	chemical	http://purl.obolibrary.org/obo/NCIT_C598	located in	1380	1387	abstract	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	1570	1573	abstract	zinc	chemical	https://uts.nlm.nih.gov/uts/umls/concept/C0043481	located in	1380	1387	abstract	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	1646	1660	abstract	Bifidobacterium	bacteria	http://purl.obolibrary.org/obo/NCBITaxon_1678	located in	1380	1387	abstract	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	1711	1725	abstract	Parabacteroides	bacteria	https://www.ncbi.nlm.nih.gov/mesh/D001439	located in	1380	1387	abstract	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	1787	1804	abstract	c-reactive protein	chemical	http://purl.obolibrary.org/obo/NCIT_C60651	located in	1380	1387	abstract	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	1807	1809	abstract	CRP	chemical	http://purl.obolibrary.org/obo/NCIT_C60651	located in	1380	1387	abstract	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	1851	1854	abstract	GABA	chemical	http://purl.obolibrary.org/obo/CHEBI_16865	located in	1380	1387	abstract	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	1928	1938	abstract	Bacteroides	bacteria	https://www.ncbi.nlm.nih.gov/mesh/D001439	located in	1380	1387	abstract	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	1986	1996	abstract	Clostridium	bacteria	https://www.ncbi.nlm.nih.gov/mesh/D003013	located in	1380	1387	abstract	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	2249	2251	abstract	ASD	DDF	http://purl.obolibrary.org/obo/OGMS_0000045	target	2235	2242	abstract	Children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	2289	2291	abstract	CRP	chemical	http://purl.obolibrary.org/obo/NCIT_C60651	located in	2235	2242	abstract	Children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	2289	2291	abstract	CRP	chemical	http://purl.obolibrary.org/obo/NCIT_C60651	located in	2544	2551	abstract	controls	human	https://uts.nlm.nih.gov/uts/umls/concept/C0009932
38283894	expert_5	2297	2300	abstract	GABA	chemical	http://purl.obolibrary.org/obo/CHEBI_16865	located in	2235	2242	abstract	Children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	2297	2300	abstract	GABA	chemical	http://purl.obolibrary.org/obo/CHEBI_16865	located in	2544	2551	abstract	controls	human	https://uts.nlm.nih.gov/uts/umls/concept/C0009932
38283894	expert_5	2319	2326	abstract	oxytocin	chemical	http://purl.obolibrary.org/obo/CHEBI_7872	located in	2235	2242	abstract	Children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	2319	2326	abstract	oxytocin	chemical	http://purl.obolibrary.org/obo/CHEBI_7872	located in	2544	2551	abstract	controls	human	https://uts.nlm.nih.gov/uts/umls/concept/C0009932
38283894	expert_5	2329	2332	abstract	iron	chemical	http://purl.obolibrary.org/obo/NCIT_C598	located in	2235	2242	abstract	Children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	2329	2332	abstract	iron	chemical	http://purl.obolibrary.org/obo/NCIT_C598	located in	2544	2551	abstract	controls	human	https://uts.nlm.nih.gov/uts/umls/concept/C0009932
38283894	expert_5	2339	2342	abstract	zinc	chemical	https://uts.nlm.nih.gov/uts/umls/concept/C0043481	located in	2235	2242	abstract	Children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	2339	2342	abstract	zinc	chemical	https://uts.nlm.nih.gov/uts/umls/concept/C0043481	located in	2544	2551	abstract	controls	human	https://uts.nlm.nih.gov/uts/umls/concept/C0009932
38283894	expert_5	2376	2390	abstract	Bifidobacterium	bacteria	http://purl.obolibrary.org/obo/NCBITaxon_1678	located in	2235	2242	abstract	Children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	2376	2390	abstract	Bifidobacterium	bacteria	http://purl.obolibrary.org/obo/NCBITaxon_1678	located in	2544	2551	abstract	controls	human	https://uts.nlm.nih.gov/uts/umls/concept/C0009932
38283894	expert_5	2403	2417	abstract	Parabacteroides	bacteria	https://www.ncbi.nlm.nih.gov/mesh/D001439	located in	2235	2242	abstract	Children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	2403	2417	abstract	Parabacteroides	bacteria	https://www.ncbi.nlm.nih.gov/mesh/D001439	located in	2544	2551	abstract	controls	human	https://uts.nlm.nih.gov/uts/umls/concept/C0009932
38283894	expert_5	2460	2475	abstract	Faecalibacterium	bacteria	http://purl.obolibrary.org/obo/NCBITaxon_216851	located in	2235	2242	abstract	Children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	2460	2475	abstract	Faecalibacterium	bacteria	http://purl.obolibrary.org/obo/NCBITaxon_216851	located in	2544	2551	abstract	controls	human	https://uts.nlm.nih.gov/uts/umls/concept/C0009932
38283894	expert_5	2485	2495	abstract	Bacteroides	bacteria	https://www.ncbi.nlm.nih.gov/mesh/D001439	located in	2235	2242	abstract	Children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	2485	2495	abstract	Bacteroides	bacteria	https://www.ncbi.nlm.nih.gov/mesh/D001439	located in	2544	2551	abstract	controls	human	https://uts.nlm.nih.gov/uts/umls/concept/C0009932
38283894	expert_5	2509	2519	abstract	Clostridium	bacteria	https://www.ncbi.nlm.nih.gov/mesh/D003013	located in	2235	2242	abstract	Children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	2509	2519	abstract	Clostridium	bacteria	https://www.ncbi.nlm.nih.gov/mesh/D003013	located in	2544	2551	abstract	controls	human	https://uts.nlm.nih.gov/uts/umls/concept/C0009932


36072680	expert_6	0	23	abstract	Irritable bowel syndrome	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0022104	is a	84	110	abstract	chronic debilitating issues	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0742986
36072680	expert_6	26	28	abstract	IBS	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0022104	is a	84	110	abstract	chronic debilitating issues	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0742986
36072680	expert_6	261	274	abstract	gut microbiota	microbiome	http://purl.obolibrary.org/obo/OHMI_0000463	is linked to	360	374	abstract	gastroenteritis	DDF	http://purl.obolibrary.org/obo/NCIT_C34632
36072680	expert_6	261	274	abstract	gut microbiota	microbiome	http://purl.obolibrary.org/obo/OHMI_0000463	is linked to	377	382	abstract	stress	DDF	http://purl.obolibrary.org/obo/NCIT_C35041
36072680	expert_6	1125	1127	abstract	IBS	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0022104	target	1111	1118	abstract	patients	human	https://www.ncbi.nlm.nih.gov/mesh/68010361


37127945	expert_4	947	948	abstract	BD	DDF	http://purl.obolibrary.org/obo/NCIT_C120352	change abundance	884	896	abstract	Lactobacillus	bacteria	http://purl.obolibrary.org/obo/NCBITaxon_1578
37127945	expert_4	947	948	abstract	BD	DDF	http://purl.obolibrary.org/obo/NCIT_C120352	change abundance	899	914	abstract	Faecalibacterium	bacteria	http://purl.obolibrary.org/obo/NCBITaxon_216851
37127945	expert_4	947	948	abstract	BD	DDF	http://purl.obolibrary.org/obo/NCIT_C120352	change abundance	921	932	abstract	Ruminococcus	bacteria	https://www.ncbi.nlm.nih.gov/mesh/D045857
37127945	expert_4	1089	1113	abstract	Probiotic supplementation	dietary supplement	https://uts.nlm.nih.gov/uts/umls/concept/C0525033	influence	1187	1205	abstract	depressive symptoms	DDF	http://purl.obolibrary.org/obo/OMIT_0005141
37127945	expert_4	1089	1113	abstract	Probiotic supplementation	dietary supplement	https://uts.nlm.nih.gov/uts/umls/concept/C0525033	influence	1211	1231	abstract	cognitive impairments	DDF	http://purl.obolibrary.org/obo/NCIT_C116921
37127945	expert_4	1187	1205	abstract	depressive symptoms	DDF	http://purl.obolibrary.org/obo/OMIT_0005141	target	1239	1246	abstract	patients	human	https://www.ncbi.nlm.nih.gov/mesh/68010361
37127945	expert_4	1211	1231	abstract	cognitive impairments	DDF	http://purl.obolibrary.org/obo/NCIT_C116921	target	1239	1246	abstract	patients	human	https://www.ncbi.nlm.nih.gov/mesh/68010361
37127945	expert_4	1253	1254	abstract	BD	DDF	http://purl.obolibrary.org/obo/NCIT_C120352	target	1239	1246	abstract	patients	human	https://www.ncbi.nlm.nih.gov/mesh/68010361
37127945	expert_4	1673	1674	abstract	BD	DDF	http://purl.obolibrary.org/obo/NCIT_C120352	target	1659	1666	abstract	patients	human	https://www.ncbi.nlm.nih.gov/mesh/68010361


36411639	expert_4	114	125	abstract	Gut microbes	bacteria	http://purl.obolibrary.org/obo/OHMI_0000460	influence	150	174	abstract	gastrointestinal diseases	DDF	http://purl.obolibrary.org/obo/OMIT_0005457
36411639	expert_4	114	125	abstract	Gut microbes	bacteria	http://purl.obolibrary.org/obo/OHMI_0000460	influence	181	207	abstract	ulcer stomach and intestine	DDF	http://purl.obolibrary.org/obo/NCIT_C3426
36411639	expert_4	114	125	abstract	Gut microbes	bacteria	http://purl.obolibrary.org/obo/OHMI_0000460	influence	213	236	abstract	irritable bowel syndrome	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0022104
36411639	expert_4	399	431	abstract	Gut microbial-derived metabolites	chemical	https://w3id.org/XXXX/ontology/gutbrain/resource/chemical/DerivedMetabolite	influence	464	484	abstract	neurological diseases	DDF	https://w3id.org/XXXX/ontology/gutbrain/resource/diseasedisorderorfinding/NeurodegenerativeDiseases
36411639	expert_4	399	431	abstract	Gut microbial-derived metabolites	chemical	https://w3id.org/XXXX/ontology/gutbrain/resource/chemical/DerivedMetabolite	influence	494	512	abstract	Alzheimer's disease	DDF	http://purl.obolibrary.org/obo/NCIT_C2866
36411639	expert_4	399	431	abstract	Gut microbial-derived metabolites	chemical	https://w3id.org/XXXX/ontology/gutbrain/resource/chemical/DerivedMetabolite	influence	515	533	abstract	Parkinson's disease	DDF	http://purl.obolibrary.org/obo/NCIT_C26845


32545788	expert_6	92	101	abstract	dead cells	chemical	https://w3id.org/XXXX/ontology/gutbrain/resource/chemical/DeadCell	influence	0	11	abstract	Inflammation	DDF	http://purl.obolibrary.org/obo/NCIT_C3137
32545788	expert_6	104	112	abstract	irritants	chemical	https://uts.nlm.nih.gov/uts/umls/concept/C0022108	influence	0	11	abstract	Inflammation	DDF	http://purl.obolibrary.org/obo/NCIT_C3137
32545788	expert_6	117	125	abstract	pathogens	chemical	http://purl.obolibrary.org/obo/NCIT_C80324	influence	0	11	abstract	Inflammation	DDF	http://purl.obolibrary.org/obo/NCIT_C3137
32545788	expert_6	688	705	abstract	NLRP3 inflammasome	chemical	http://purl.obolibrary.org/obo/CHEBI_3254	influence	943	963	abstract	metabolic pathologies	DDF	http://purl.obolibrary.org/obo/NCIT_C18189
32545788	expert_6	688	705	abstract	NLRP3 inflammasome	chemical	http://purl.obolibrary.org/obo/CHEBI_3254	influence	966	972	abstract	obesity	DDF	http://purl.obolibrary.org/obo/NCIT_C3283
32545788	expert_6	688	705	abstract	NLRP3 inflammasome	chemical	http://purl.obolibrary.org/obo/CHEBI_3254	influence	975	989	abstract	type 2 diabetes	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0011860
32545788	expert_6	688	705	abstract	NLRP3 inflammasome	chemical	http://purl.obolibrary.org/obo/CHEBI_3254	influence	992	1006	abstract	atherosclerosis	DDF	http://purl.obolibrary.org/obo/NCIT_C35768
32545788	expert_6	688	705	abstract	NLRP3 inflammasome	chemical	http://purl.obolibrary.org/obo/CHEBI_3254	influence	1010	1032	abstract	cardiovascular diseases	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0007222
32545788	expert_6	688	705	abstract	NLRP3 inflammasome	chemical	http://purl.obolibrary.org/obo/CHEBI_3254	influence	1035	1073	abstract	ischemic and non-ischemic heart disease	DDF	http://purl.obolibrary.org/obo/NCIT_C50625
32545788	expert_6	688	705	abstract	NLRP3 inflammasome	chemical	http://purl.obolibrary.org/obo/CHEBI_3254	influence	1077	1095	abstract	inflammatory issues	DDF	http://purl.obolibrary.org/obo/NCIT_C3137
32545788	expert_6	688	705	abstract	NLRP3 inflammasome	chemical	http://purl.obolibrary.org/obo/CHEBI_3254	influence	1098	1111	abstract	liver diseases	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0023895
32545788	expert_6	688	705	abstract	NLRP3 inflammasome	chemical	http://purl.obolibrary.org/obo/CHEBI_3254	influence	1114	1140	abstract	inflammatory bowel diseases	DDF	http://purl.obolibrary.org/obo/NCIT_C3138
32545788	expert_6	688	705	abstract	NLRP3 inflammasome	chemical	http://purl.obolibrary.org/obo/CHEBI_3254	influence	1159	1178	abstract	rheumatoid arthritis	DDF	http://purl.obolibrary.org/obo/NCIT_C2884
32545788	expert_6	688	705	abstract	NLRP3 inflammasome	chemical	http://purl.obolibrary.org/obo/CHEBI_3254	influence	1185	1204	abstract	neurologic disorders	DDF	http://purl.obolibrary.org/obo/NCIT_C25262
32545788	expert_6	688	705	abstract	NLRP3 inflammasome	chemical	http://purl.obolibrary.org/obo/CHEBI_3254	influence	1207	1225	abstract	Parkinson's disease	DDF	http://purl.obolibrary.org/obo/NCIT_C26845
32545788	expert_6	688	705	abstract	NLRP3 inflammasome	chemical	http://purl.obolibrary.org/obo/CHEBI_3254	influence	1228	1246	abstract	Alzheimer's disease	DDF	http://purl.obolibrary.org/obo/NCIT_C2866
32545788	expert_6	688	705	abstract	NLRP3 inflammasome	chemical	http://purl.obolibrary.org/obo/CHEBI_3254	influence	1249	1266	abstract	multiple sclerosis	DDF	http://purl.obolibrary.org/obo/NCIT_C3243
32545788	expert_6	688	705	abstract	NLRP3 inflammasome	chemical	http://purl.obolibrary.org/obo/CHEBI_3254	influence	1269	1297	abstract	amyotrophic lateral sclerosis	DDF	http://purl.obolibrary.org/obo/NCIT_C34373
32545788	expert_6	688	705	abstract	NLRP3 inflammasome	chemical	http://purl.obolibrary.org/obo/CHEBI_3254	influence	1309	1330	abstract	neurological disorders	DDF	http://purl.obolibrary.org/obo/NCIT_C26835




30072879	expert_2	0	16	abstract	Motor dysfunction	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C5979810	affect	35	53	abstract	Parkinson's disease	DDF	http://purl.obolibrary.org/obo/NCIT_C26845
30072879	expert_2	0	16	abstract	Motor dysfunction	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C5979810	affect	56	57	abstract	PD	DDF	http://purl.obolibrary.org/obo/NCIT_C26845
30072879	expert_2	35	53	abstract	Parkinson's disease	DDF	http://purl.obolibrary.org/obo/NCIT_C26845	target	948	967	abstract	female and male mice	animal	http://purl.obolibrary.org/obo/NCIT_C45247
30072879	expert_2	97	124	abstract	gastrointestinal dysfunction	DDF	http://purl.obolibrary.org/obo/NCIT_C162870	affect	56	57	abstract	PD	DDF	http://purl.obolibrary.org/obo/NCIT_C26845
30072879	expert_2	97	124	abstract	gastrointestinal dysfunction	DDF	http://purl.obolibrary.org/obo/NCIT_C162870	affect	35	53	abstract	Parkinson's disease	DDF	http://purl.obolibrary.org/obo/NCIT_C26845
30072879	expert_2	182	195	abstract	gut microbiome	microbiome	http://purl.obolibrary.org/obo/OHMI_0000020	is linked to	241	255	abstract	PD pathogenesis	DDF	http://purl.obolibrary.org/obo/NCIT_C26845
30072879	expert_2	752	784	abstract	metabotropic glutamate receptor 8	chemical	http://purl.obolibrary.org/obo/CHEBI_61966	interact	852	895	abstract	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	chemical	http://purl.obolibrary.org/obo/CHEBI_17963
30072879	expert_2	752	784	abstract	metabotropic glutamate receptor 8	chemical	http://purl.obolibrary.org/obo/CHEBI_61966	interact	898	901	abstract	MPTP	chemical	http://purl.obolibrary.org/obo/CHEBI_233275
30072879	expert_2	787	791	abstract	mGlu8	chemical	http://purl.obolibrary.org/obo/CHEBI_61966	interact	852	895	abstract	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	chemical	http://purl.obolibrary.org/obo/CHEBI_17963
30072879	expert_2	787	791	abstract	mGlu8	chemical	http://purl.obolibrary.org/obo/CHEBI_61966	interact	898	901	abstract	MPTP	chemical	http://purl.obolibrary.org/obo/CHEBI_233275
30072879	expert_2	795	808	abstract	group III mGlu	chemical	https://uts.nlm.nih.gov/uts/umls/concept/C0206529	interact	852	895	abstract	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	chemical	http://purl.obolibrary.org/obo/CHEBI_17963
30072879	expert_2	795	808	abstract	group III mGlu	chemical	https://uts.nlm.nih.gov/uts/umls/concept/C0206529	interact	898	901	abstract	MPTP	chemical	http://purl.obolibrary.org/obo/CHEBI_233275
30072879	expert_2	852	895	abstract	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	chemical	http://purl.obolibrary.org/obo/CHEBI_17963	impact	1676	1689	abstract	gut microbiome	microbiome	http://purl.obolibrary.org/obo/OHMI_0000020
30072879	expert_2	898	901	abstract	MPTP	chemical	http://purl.obolibrary.org/obo/CHEBI_233275	impact	1676	1689	abstract	gut microbiome	microbiome	http://purl.obolibrary.org/obo/OHMI_0000020
30072879	expert_2	1676	1689	abstract	gut microbiome	microbiome	http://purl.obolibrary.org/obo/OHMI_0000020	located in	1554	1567	abstract	WT and KO mice	animal	http://purl.obolibrary.org/obo/NCIT_C45247
30072879	expert_2	2199	2203	abstract	mGlu8	chemical	http://purl.obolibrary.org/obo/CHEBI_61966	influence	2239	2240	abstract	PD	DDF	http://purl.obolibrary.org/obo/NCIT_C26845


32572814	expert_4	0	7	title	Butyrate	chemical	http://purl.obolibrary.org/obo/CHEBI_17968	influence	26	52	title	Salsolinol-Induced Toxicity	DDF	https://w3id.org/XXXX/ontology/gutbrain/resource/diseasedisorderorfinding/SalsolinolInducedToxicity
32572814	expert_4	568	575	abstract	Butyrate	chemical	http://purl.obolibrary.org/obo/CHEBI_17968	located in	624	626	abstract	gut	anatomical location	https://uts.nlm.nih.gov/uts/umls/concept/C0699819
32572814	expert_4	1560	1580	abstract	beta-hydroxy butyrate	drug	http://purl.obolibrary.org/obo/CHEBI_17968	interact	1510	1517	abstract	butyrate	chemical	http://purl.obolibrary.org/obo/CHEBI_17968
32572814	expert_4	1560	1580	abstract	beta-hydroxy butyrate	drug	http://purl.obolibrary.org/obo/CHEBI_17968	interact	1601	1604	abstract	FA3R	chemical	http://purl.obolibrary.org/obo/NCIT_C26532
32572814	expert_4	1583	1585	abstract	BHB	drug	http://purl.obolibrary.org/obo/CHEBI_17968	interact	1510	1517	abstract	butyrate	chemical	http://purl.obolibrary.org/obo/CHEBI_17968
32572814	expert_4	1583	1585	abstract	BHB	drug	http://purl.obolibrary.org/obo/CHEBI_17968	interact	1601	1604	abstract	FA3R	chemical	http://purl.obolibrary.org/obo/NCIT_C26532
32572814	expert_4	1654	1662	abstract	AR 420626	drug	http://purl.obolibrary.org/obo/CHEBI_188197	interact	1640	1643	abstract	FA3R	chemical	http://purl.obolibrary.org/obo/NCIT_C26532
32572814	expert_4	1654	1662	abstract	AR 420626	drug	http://purl.obolibrary.org/obo/CHEBI_188197	interact	1706	1709	abstract	SALS	chemical	http://purl.obolibrary.org/obo/CHEBI_194220
32572814	expert_4	1741	1743	abstract	BHB	drug	http://purl.obolibrary.org/obo/CHEBI_17968	interact	1706	1709	abstract	SALS	chemical	http://purl.obolibrary.org/obo/CHEBI_194220


30828318	expert_5	95	116	abstract	probiotic applications	dietary supplement	https://uts.nlm.nih.gov/uts/umls/concept/C0525033	influence	140	146	abstract	anxiety	DDF	http://purl.obolibrary.org/obo/NCIT_C26696
30828318	expert_5	95	116	abstract	probiotic applications	dietary supplement	https://uts.nlm.nih.gov/uts/umls/concept/C0525033	influence	152	161	abstract	depression	DDF	http://purl.obolibrary.org/obo/NCIT_C124639
30828318	expert_5	125	127	abstract	gut	anatomical location	https://uts.nlm.nih.gov/uts/umls/concept/C0699819	located in	616	642	abstract	agile, fit hunter gatherers	human	https://w3id.org/XXXX/ontology/gutbrain/resource/human/HunterGathers
30828318	expert_5	125	127	abstract	gut	anatomical location	https://uts.nlm.nih.gov/uts/umls/concept/C0699819	located in	648	663	abstract	obese westerners	human	https://w3id.org/XXXX/ontology/gutbrain/resource/human/ObeseWesterners
30828318	expert_5	125	127	abstract	gut	anatomical location	https://uts.nlm.nih.gov/uts/umls/concept/C0699819	located in	668	672	abstract	Danes	human	https://uts.nlm.nih.gov/uts/umls/concept/C0086418
30828318	expert_5	495	508	abstract	gut microbiota	microbiome	http://purl.obolibrary.org/obo/OHMI_0000463	located in	125	127	abstract	gut	anatomical location	https://uts.nlm.nih.gov/uts/umls/concept/C0699819
30828318	expert_5	495	508	abstract	gut microbiota	microbiome	http://purl.obolibrary.org/obo/OHMI_0000463	located in	616	642	abstract	agile, fit hunter gatherers	human	https://w3id.org/XXXX/ontology/gutbrain/resource/human/HunterGathers
30828318	expert_5	495	508	abstract	gut microbiota	microbiome	http://purl.obolibrary.org/obo/OHMI_0000463	located in	648	663	abstract	obese westerners	human	https://w3id.org/XXXX/ontology/gutbrain/resource/human/ObeseWesterners
30828318	expert_5	495	508	abstract	gut microbiota	microbiome	http://purl.obolibrary.org/obo/OHMI_0000463	located in	668	672	abstract	Danes	human	https://uts.nlm.nih.gov/uts/umls/concept/C0086418
