pmid|annotator|start_idx|end_idx|location|text_span|label|uri
35965349|expert_7|151|178|abstract|antibiotic growth promotants|drug|https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant
35965349|expert_7|181|184|abstract|AGPs|drug|https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant
35965349|expert_7|190|203|abstract|feed additives|dietary supplement|http://purl.obolibrary.org/obo/NCIT_C69427
35965349|expert_7|272|275|abstract|AGPs|drug|https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant
35965349|expert_7|323|336|abstract|gut microbiome|microbiome|http://purl.obolibrary.org/obo/OHMI_0000020
35965349|expert_7|434|445|abstract|inflammation|DDF|http://purl.obolibrary.org/obo/NCIT_C3137
35965349|expert_7|557|560|abstract|AGPs|drug|https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant
35965349|expert_7|569|590|abstract|poultry gut microbiome|microbiome|https://w3id.org/XXXX/ontology/gutbrain/resource/microbiome/PoultryGutMicrobiome
35965349|expert_7|616|631|abstract|16S rDNA surveys|biomedical technique|https://w3id.org/XXXX/ontology/gutbrain/resource/biomedicaltechnique/16sRdnaPcr
35965349|expert_7|651|676|abstract|gastrointestinal (GI) site|anatomical location|https://uts.nlm.nih.gov/uts/umls/concept/C5702674
35965349|expert_7|876|897|abstract|chicken gut microbiome|microbiome|https://w3id.org/XXXX/ontology/gutbrain/resource/microbiome/PoultryGutMicrobiome
35965349|expert_7|915|918|abstract|AGPs|drug|https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant
35965349|expert_7|921|925|abstract|Birds|animal|http://purl.obolibrary.org/obo/NCBITaxon_8782
35965349|expert_7|969|982|abstract|AGP treatments|drug|https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant
35965349|expert_7|989|1004|abstract|16S rDNA surveys|biomedical technique|https://w3id.org/XXXX/ontology/gutbrain/resource/biomedicaltechnique/16sRdnaPcr
35965349|expert_7|1021|1028|abstract|GI sites|anatomical location|https://uts.nlm.nih.gov/uts/umls/concept/C5702674
35965349|expert_7|1138|1165|abstract|metatranscriptomics analyses|biomedical technique|https://uts.nlm.nih.gov/uts/umls/concept/C5848503
35965349|expert_7|1171|1182|abstract|metabolomics|biomedical technique|https://uts.nlm.nih.gov/uts/umls/concept/C1328813
35965349|expert_7|1240|1243|abstract|AGPs|drug|https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant
35965349|expert_7|1266|1269|abstract|bird|animal|http://purl.obolibrary.org/obo/NCBITaxon_8782
35965349|expert_7|1282|1296|abstract|intestinal site|anatomical location|https://uts.nlm.nih.gov/uts/umls/concept/C5702674
35965349|expert_7|1316|1319|abstract|AGPs|drug|https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant
35965349|expert_7|1930|1943|abstract|feed additives|dietary supplement|http://purl.obolibrary.org/obo/NCIT_C69427
35965349|expert_7|1982|1985|abstract|AGPs|drug|https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant
35965349|expert_7|2258|2291|abstract|community-based metabolic modeling|biomedical technique|https://uts.nlm.nih.gov/uts/umls/concept/C5906995
35965349|expert_7|2463|2492|abstract|next-generation feed additives|dietary supplement|http://purl.obolibrary.org/obo/NCIT_C69427
34870091|expert_4|48|70|title|oral and gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
34870091|expert_4|75|82|title|patients|human|https://www.ncbi.nlm.nih.gov/mesh/68010361
34870091|expert_4|89|97|title|psychosis|DDF|http://purl.obolibrary.org/obo/NCIT_C78576
34870091|expert_4|102|114|title|schizophrenia|DDF|http://purl.obolibrary.org/obo/NCIT_C3362
34870091|expert_4|19|41|abstract|Gut and oral microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
34870091|expert_4|250|270|abstract|intestinal microbiome|microbiome|https://w3id.org/XXXX/ontology/gutbrain/resource/microbiome/IntestinalMicrobiome
34870091|expert_4|294|302|abstract|psychosis|DDF|http://purl.obolibrary.org/obo/NCIT_C78576
34870091|expert_4|308|320|abstract|schizophrenia|DDF|http://purl.obolibrary.org/obo/NCIT_C3362
34870091|expert_4|339|346|abstract|controls|human|https://uts.nlm.nih.gov/uts/umls/concept/C0009932
34870091|expert_4|470|492|abstract|oral and gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
34870091|expert_4|497|504|abstract|patients|human|https://www.ncbi.nlm.nih.gov/mesh/68010361
34870091|expert_4|511|519|abstract|psychosis|DDF|http://purl.obolibrary.org/obo/NCIT_C78576
34870091|expert_4|684|706|abstract|oral and gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
34870091|expert_4|711|718|abstract|patients|human|https://www.ncbi.nlm.nih.gov/mesh/68010361
34870091|expert_4|725|733|abstract|psychosis|DDF|http://purl.obolibrary.org/obo/NCIT_C78576
34870091|expert_4|738|750|abstract|schizophrenia|DDF|http://purl.obolibrary.org/obo/NCIT_C3362
34870091|expert_4|766|781|abstract|healthy controls|human|https://uts.nlm.nih.gov/uts/umls/concept/C0009932
34870091|expert_4|912|917|abstract|humans|human|https://uts.nlm.nih.gov/uts/umls/concept/C1300203
34870091|expert_4|923|929|abstract|animals|animal|http://purl.obolibrary.org/obo/NCIT_C14182
34870091|expert_4|1170|1197|abstract|random-effects meta-analyses|statistical technique|https://w3id.org/XXXX/ontology/gutbrain/resource/statisticaltechnique/RandomEffectsMetaAnalyses
34870091|expert_4|1315|1323|abstract|psychosis|DDF|http://purl.obolibrary.org/obo/NCIT_C78576
34870091|expert_4|1329|1341|abstract|schizophrenia|DDF|http://purl.obolibrary.org/obo/NCIT_C3362
34870091|expert_4|1544|1552|abstract|psychosis|DDF|http://purl.obolibrary.org/obo/NCIT_C78576
34870091|expert_4|1826|1834|abstract|psychosis|DDF|http://purl.obolibrary.org/obo/NCIT_C78576
28158162|expert_2|32|41|title|Probiotics|dietary supplement|https://uts.nlm.nih.gov/uts/umls/concept/C0525033
28158162|expert_2|46|68|title|Human Migraine Headache|DDF|http://purl.obolibrary.org/obo/NCIT_C89715
28158162|expert_2|31|47|abstract|migraine headache|DDF|http://purl.obolibrary.org/obo/NCIT_C89715
28158162|expert_2|86|110|abstract|gastrointestinal diseases|DDF|http://purl.obolibrary.org/obo/OMIT_0005457
28158162|expert_2|145|153|abstract|headaches|DDF|http://purl.obolibrary.org/obo/NCIT_C34661
28158162|expert_2|158|165|abstract|patients|human|https://www.ncbi.nlm.nih.gov/mesh/68010361
28158162|expert_2|172|197|abstract|gastrointestinal disorders|DDF|https://uts.nlm.nih.gov/uts/umls/concept/C0017178
28158162|expert_2|227|234|abstract|migraine|DDF|http://purl.obolibrary.org/obo/NCIT_C89715
28158162|expert_2|240|265|abstract|gastrointestinal disorders|DDF|https://uts.nlm.nih.gov/uts/umls/concept/C0017178
28158162|expert_2|325|338|abstract|gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
28158162|expert_2|409|416|abstract|migraine|DDF|http://purl.obolibrary.org/obo/NCIT_C89715
28158162|expert_2|422|446|abstract|gastrointestinal diseases|DDF|http://purl.obolibrary.org/obo/OMIT_0005457
28158162|expert_2|509|520|abstract|inflammation|DDF|http://purl.obolibrary.org/obo/NCIT_C3137
28158162|expert_2|584|597|abstract|gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
28158162|expert_2|645|661|abstract|migraine headache|DDF|http://purl.obolibrary.org/obo/NCIT_C89715
28158162|expert_2|854|870|abstract|migraine headache|DDF|http://purl.obolibrary.org/obo/NCIT_C89715
28158162|expert_2|873|886|abstract|gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
28158162|expert_2|909|918|abstract|probiotics|dietary supplement|https://uts.nlm.nih.gov/uts/umls/concept/C0525033
28158162|expert_2|993|1006|abstract|gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
28158162|expert_2|1054|1070|abstract|migraine headache|DDF|http://purl.obolibrary.org/obo/NCIT_C89715
28158162|expert_2|1098|1118|abstract|probiotics supplement|dietary supplement|https://uts.nlm.nih.gov/uts/umls/concept/C0525033
28158162|expert_2|1123|1139|abstract|migraine headache|DDF|http://purl.obolibrary.org/obo/NCIT_C89715
28158162|expert_2|1236|1245|abstract|probiotics|dietary supplement|https://uts.nlm.nih.gov/uts/umls/concept/C0525033
28158162|expert_2|1250|1257|abstract|patients|human|https://www.ncbi.nlm.nih.gov/mesh/68010361
28158162|expert_2|1264|1280|abstract|migraine headache|DDF|http://purl.obolibrary.org/obo/NCIT_C89715
28158162|expert_2|1404|1413|abstract|probiotics|dietary supplement|https://uts.nlm.nih.gov/uts/umls/concept/C0525033
28158162|expert_2|1418|1425|abstract|patients|human|https://www.ncbi.nlm.nih.gov/mesh/68010361
28158162|expert_2|1432|1448|abstract|migraine headache|DDF|http://purl.obolibrary.org/obo/NCIT_C89715
28158162|expert_2|1462|1478|abstract|migraine headache|DDF|http://purl.obolibrary.org/obo/NCIT_C89715
28158162|expert_2|1514|1523|abstract|depression|DDF|http://purl.obolibrary.org/obo/NCIT_C124639
28158162|expert_2|1529|1535|abstract|anxiety|DDF|http://purl.obolibrary.org/obo/NCIT_C26696
28158162|expert_2|1628|1641|abstract|gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
28158162|expert_2|1660|1671|abstract|inflammation|DDF|http://purl.obolibrary.org/obo/NCIT_C3137
28158162|expert_2|1774|1783|abstract|probiotics|dietary supplement|https://uts.nlm.nih.gov/uts/umls/concept/C0525033
28158162|expert_2|2001|2010|abstract|probiotics|dietary supplement|https://uts.nlm.nih.gov/uts/umls/concept/C0525033
28158162|expert_2|2015|2022|abstract|patients|human|https://www.ncbi.nlm.nih.gov/mesh/68010361
28158162|expert_2|2029|2045|abstract|migraine headache|DDF|http://purl.obolibrary.org/obo/NCIT_C89715
28158162|expert_2|2058|2074|abstract|Migraine headache|DDF|http://purl.obolibrary.org/obo/NCIT_C89715
28158162|expert_2|2077|2090|abstract|gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
28158162|expert_2|2109|2118|abstract|probiotics|dietary supplement|https://uts.nlm.nih.gov/uts/umls/concept/C0525033
34172092|expert_6|13|38|title|acetate-producing bacteria|bacteria|http://purl.obolibrary.org/obo/NCBITaxon_2013654
34172092|expert_6|49|62|title|gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
34172092|expert_6|76|95|title|cognitive impairment|DDF|http://purl.obolibrary.org/obo/NCIT_C116921
34172092|expert_6|139|151|title|diabetic mice|animal|http://purl.obolibrary.org/obo/NCIT_C45247
34172092|expert_6|20|33|abstract|gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
34172092|expert_6|80|103|abstract|type 1 diabetes mellitus|DDF|http://purl.obolibrary.org/obo/NCIT_C2986
34172092|expert_6|106|108|abstract|T1D|DDF|http://purl.obolibrary.org/obo/NCIT_C2986
34172092|expert_6|137|150|abstract|gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
34172092|expert_6|211|213|abstract|T1D|DDF|http://purl.obolibrary.org/obo/NCIT_C2986
34172092|expert_6|233|268|abstract|non-absorbable antibiotic vancomycin|drug|https://uts.nlm.nih.gov/uts/umls/concept/C0042313
34172092|expert_6|284|297|abstract|gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
34172092|expert_6|302|338|abstract|streptozotocin (STZ)-induced T1D mice|animal|http://purl.obolibrary.org/obo/NCIT_C45247
34172092|expert_6|413|420|abstract|T1D mice|animal|http://purl.obolibrary.org/obo/NCIT_C45247
34172092|expert_6|516|529|abstract|gut microbiome|microbiome|http://purl.obolibrary.org/obo/OHMI_0000020
34172092|expert_6|583|602|abstract|cognitive impairment|DDF|http://purl.obolibrary.org/obo/NCIT_C116921
34172092|expert_6|607|614|abstract|T1D mice|animal|http://purl.obolibrary.org/obo/NCIT_C45247
34172092|expert_6|617|644|abstract|Long-term acetate deficiency|DDF|http://purl.obolibrary.org/obo/NCIT_C94372
34172092|expert_6|666|691|abstract|acetate-producing bacteria|bacteria|http://purl.obolibrary.org/obo/NCBITaxon_2013654
34172092|expert_6|749|759|abstract|hippocampus|anatomical location|http://purl.obolibrary.org/obo/NCIT_C12444
34172092|expert_6|772|802|abstract|learning and memory impairments|DDF|http://purl.obolibrary.org/obo/NCIT_C116921
34172092|expert_6|919|926|abstract|T1D mice|animal|http://purl.obolibrary.org/obo/NCIT_C45247
34172092|expert_6|1051|1068|abstract|metabolite acetate|chemical|http://purl.obolibrary.org/obo/CHEBI_25212
34172092|expert_6|1105|1132|abstract|long-term acetate deficiency|DDF|http://purl.obolibrary.org/obo/NCIT_C94372
34172092|expert_6|1154|1170|abstract|cognitive decline|DDF|https://uts.nlm.nih.gov/uts/umls/concept/C0234985
37845499|expert_3|21|35|title|host microbiome|microbiome|http://purl.obolibrary.org/obo/OHMI_0000001
37845499|expert_3|40|65|title|neuropsychiatric disorders|DDF|https://w3id.org/XXXX/ontology/gutbrain/resource/diseasedisorderorfinding/NeuropsychiatricDisorders
37845499|expert_3|72|79|abstract|bacteria|bacteria|http://purl.obolibrary.org/obo/NCBITaxon_2
37845499|expert_3|128|137|abstract|microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
37845499|expert_3|223|232|abstract|microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
37845499|expert_3|246|271|abstract|neuropsychiatric disorders|DDF|https://w3id.org/XXXX/ontology/gutbrain/resource/diseasedisorderorfinding/NeuropsychiatricDisorders
37845499|expert_3|278|287|abstract|microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
37845499|expert_3|339|349|abstract|oral cavity|anatomical location|http://purl.obolibrary.org/obo/NCIT_C12421
37845499|expert_3|352|365|abstract|nasal passages|anatomical location|https://uts.nlm.nih.gov/uts/umls/concept/C0027423
37845499|expert_3|368|372|abstract|lungs|anatomical location|http://purl.obolibrary.org/obo/NCIT_C12468
37845499|expert_3|375|377|abstract|gut|anatomical location|https://uts.nlm.nih.gov/uts/umls/concept/C0699819
37845499|expert_3|380|383|abstract|skin|anatomical location|http://purl.obolibrary.org/obo/NCIT_C12470
37845499|expert_3|386|392|abstract|bladder|anatomical location|http://purl.obolibrary.org/obo/NCIT_C12414
37845499|expert_3|399|404|abstract|vagina|anatomical location|http://purl.obolibrary.org/obo/NCIT_C12407
37845499|expert_3|411|424|abstract|gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
37845499|expert_3|433|454|abstract|gastrointestinal tract|anatomical location|http://purl.obolibrary.org/obo/NCIT_C34082
37845499|expert_3|542|584|abstract|psychiatric and neurodegenerative disorders|DDF|http://purl.obolibrary.org/obo/OMIT_0002893
37845499|expert_3|600|609|abstract|microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
37845499|expert_3|781|806|abstract|neuropsychiatric disorders|DDF|https://w3id.org/XXXX/ontology/gutbrain/resource/diseasedisorderorfinding/NeuropsychiatricDisorders
37845499|expert_3|863|875|abstract|periodontitis|DDF|http://purl.obolibrary.org/obo/NCIT_C34918
37845499|expert_3|905|930|abstract|neuropsychiatric disorders|DDF|https://w3id.org/XXXX/ontology/gutbrain/resource/diseasedisorderorfinding/NeuropsychiatricDisorders
37845499|expert_3|1031|1043|abstract|oral bacteria|bacteria|http://purl.obolibrary.org/obo/NCBITaxon_2
37845499|expert_3|1052|1057|abstract|brains|anatomical location|http://purl.obolibrary.org/obo/NCIT_C12439
37845499|expert_3|1062|1069|abstract|patients|human|https://www.ncbi.nlm.nih.gov/mesh/68010361
37845499|expert_3|1076|1094|abstract|Alzheimer's disease|DDF|http://purl.obolibrary.org/obo/NCIT_C2866
37845499|expert_3|1159|1173|abstract|host microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
37845499|expert_3|1178|1203|abstract|neuropsychiatric disorders|DDF|https://w3id.org/XXXX/ontology/gutbrain/resource/diseasedisorderorfinding/NeuropsychiatricDisorders
37845499|expert_3|1320|1334|abstract|host microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
37371676|expert_1|61|79|title|Autoimmune Diseases|DDF|http://purl.obolibrary.org/obo/NCIT_C2889
37371676|expert_1|0|23|abstract|Autoimmune (AI) diseases|DDF|http://purl.obolibrary.org/obo/OMIT_0005457
37371676|expert_1|217|243|abstract|individual's gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
37371676|expert_1|502|515|abstract|gut microbiome|microbiome|http://purl.obolibrary.org/obo/OHMI_0000020
37371676|expert_1|535|547|abstract|gut dysbiosis|DDF|https://uts.nlm.nih.gov/uts/umls/concept/C4287543
37371676|expert_1|614|626|abstract|Gut dysbiosis|DDF|https://uts.nlm.nih.gov/uts/umls/concept/C4287543
37371676|expert_1|658|659|abstract|AI|DDF|http://purl.obolibrary.org/obo/NCIT_C2889
37371676|expert_1|686|706|abstract|fat and sugar content|chemical|http://purl.obolibrary.org/obo/CHEBI_35381
37371676|expert_1|782|802|abstract|systemic inflammation|DDF|http://purl.obolibrary.org/obo/NCIT_C3137
37371676|expert_1|895|899|abstract|TNF-a|chemical|http://purl.obolibrary.org/obo/CHEBI_64645
37371676|expert_1|902|905|abstract|IL-6|chemical|https://uts.nlm.nih.gov/uts/umls/concept/C1334122
37371676|expert_1|912|916|abstract|IL-17|chemical|https://uts.nlm.nih.gov/uts/umls/concept/C1825592
37371676|expert_1|956|966|abstract|arthropathy|DDF|http://purl.obolibrary.org/obo/NCIT_C35760
37371676|expert_1|1011|1023|abstract|gut dysbiosis|DDF|https://uts.nlm.nih.gov/uts/umls/concept/C4287543
37371676|expert_1|1032|1051|abstract|chronic inflammation|DDF|http://purl.obolibrary.org/obo/NCIT_C174450
37371676|expert_1|1148|1161|abstract|gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
37371676|expert_1|1244|1245|abstract|AI|DDF|http://purl.obolibrary.org/obo/NCIT_C2889
37371676|expert_1|1258|1276|abstract|psoriatic arthritis|DDF|http://purl.obolibrary.org/obo/NCIT_C61277
37371676|expert_1|1279|1306|abstract|systemic lupus erythematosus|DDF|http://purl.obolibrary.org/obo/NCIT_C3201
37371676|expert_1|1309|1331|abstract|irritable bowel disease|DDF|http://purl.obolibrary.org/obo/NCIT_C3138
37371676|expert_1|1338|1357|abstract|rheumatoid arthritis|DDF|http://purl.obolibrary.org/obo/NCIT_C2884
37371676|expert_1|1541|1542|abstract|AI|DDF|http://purl.obolibrary.org/obo/NCIT_C2889
37371676|expert_1|1584|1597|abstract|gut microbiome|microbiome|http://purl.obolibrary.org/obo/OHMI_0000020
37371676|expert_1|1669|1704|abstract|individual's specific gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
37371676|expert_1|2013|2041|abstract|reduced systemic inflammation|DDF|http://purl.obolibrary.org/obo/NCIT_C3137
37371676|expert_1|2166|2179|abstract|gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
37371676|expert_1|2241|2252|abstract|inflammation|DDF|http://purl.obolibrary.org/obo/NCIT_C3137
37371676|expert_1|2565|2578|abstract|gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
37371676|expert_1|2602|2637|abstract|AI-related musculoskeletal pathology|DDF|http://purl.obolibrary.org/obo/NCIT_C2889
37574818|expert_2|23|54|title|Lactobacillus plantarum CCFM8661|bacteria|http://purl.obolibrary.org/obo/NCBITaxon_1591090
37574818|expert_2|59|81|title|oleic acid-induced acne|DDF|https://w3id.org/XXXX/ontology/gutbrain/resource/diseasedisorderorfinding/OleicAcidInducedAcne
37574818|expert_2|95|108|title|gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
37574818|expert_2|118|134|title|acne pathogenesis|DDF|http://purl.obolibrary.org/obo/NCIT_C27195
37574818|expert_2|0|12|abstract|Acne vulgaris|DDF|http://purl.obolibrary.org/obo/OMIT_0001590
37574818|expert_2|20|39|abstract|inflammatory disease|DDF|http://purl.obolibrary.org/obo/NCIT_C3137
37574818|expert_2|48|65|abstract|pilosebaceous unit|anatomical location|https://uts.nlm.nih.gov/uts/umls/concept/C1302825
37574818|expert_2|74|77|abstract|skin|anatomical location|http://purl.obolibrary.org/obo/NCIT_C12470
37574818|expert_2|149|156|abstract|patients|human|https://www.ncbi.nlm.nih.gov/mesh/68010361
37574818|expert_2|159|168|abstract|Probiotics|dietary supplement|https://uts.nlm.nih.gov/uts/umls/concept/C0525033
37574818|expert_2|314|366|abstract|live and inactivated Lactobacillus plantarum CCFM8661|bacteria|http://purl.obolibrary.org/obo/NCBITaxon_1591090
37574818|expert_2|371|393|abstract|oleic acid-induced acne|DDF|https://w3id.org/XXXX/ontology/gutbrain/resource/diseasedisorderorfinding/OleicAcidInducedAcne
37574818|expert_2|439|464|abstract|live L. plantarum CCFM8661|bacteria|http://purl.obolibrary.org/obo/NCBITaxon_1591090
37574818|expert_2|477|493|abstract|skin inflammation|DDF|http://purl.obolibrary.org/obo/NCIT_C50742
37574818|expert_2|499|511|abstract|serum hormone|chemical|https://w3id.org/XXXX/ontology/gutbrain/resource/chemical/SerumHormone
37574818|expert_2|514|520|abstract|insulin|chemical|http://purl.obolibrary.org/obo/CHEBI_145810
37574818|expert_2|526|537|abstract|testosterone|chemical|http://purl.obolibrary.org/obo/CHEBI_17347
37574818|expert_2|554|562|abstract|acne mice|animal|http://purl.obolibrary.org/obo/NCIT_C45247
37574818|expert_2|577|602|abstract|live L. plantarum CCFM8661|bacteria|http://purl.obolibrary.org/obo/NCBITaxon_1591090
37574818|expert_2|641|651|abstract|skin lipids|chemical|http://purl.obolibrary.org/obo/NCIT_C616
37574818|expert_2|654|666|abstract|triglycerides|chemical|http://purl.obolibrary.org/obo/CHEBI_17855
37574818|expert_2|672|702|abstract|non-esterified free fatty acids|chemical|http://purl.obolibrary.org/obo/NCIT_C80181
37574818|expert_2|739|773|abstract|skin lipid metabolism-related genes|gene|https://w3id.org/XXXX/ontology/gutbrain/resource/gene/SkinLipidMetabolismGene
37574818|expert_2|776|781|abstract|PPAR-γ|gene|https://uts.nlm.nih.gov/uts/umls/concept/C0166417
37574818|expert_2|784|791|abstract|SREBP-1c|gene|https://uts.nlm.nih.gov/uts/umls/concept/C1420398
37574818|expert_2|794|797|abstract|ACCα|gene|https://uts.nlm.nih.gov/uts/umls/concept/C1412104
37574818|expert_2|800|803|abstract|FASN|gene|http://purl.obolibrary.org/obo/NCIT_C26564
37574818|expert_2|806|811|abstract|PPAR-α|gene|https://uts.nlm.nih.gov/uts/umls/concept/C0166417
37574818|expert_2|814|818|abstract|ACOX1|gene|http://purl.obolibrary.org/obo/NCIT_C191889
37574818|expert_2|821|823|abstract|HSL|gene|https://uts.nlm.nih.gov/uts/umls/concept/C1416868
37574818|expert_2|829|832|abstract|ATGL|gene|https://uts.nlm.nih.gov/uts/umls/concept/C1538686
37574818|expert_2|851|883|abstract|inactivated L. plantarum CCFM8661|bacteria|http://purl.obolibrary.org/obo/NCBITaxon_1591090
37574818|expert_2|902|918|abstract|skin inflammation|DDF|http://purl.obolibrary.org/obo/NCIT_C50742
37574818|expert_2|923|945|abstract|serum hormone secretion|DDF|https://uts.nlm.nih.gov/uts/umls/concept/C0312431
37574818|expert_2|962|979|abstract|skin triglycerides|chemical|http://purl.obolibrary.org/obo/CHEBI_17855
37574818|expert_2|1014|1048|abstract|skin lipid metabolism-related genes|gene|https://w3id.org/XXXX/ontology/gutbrain/resource/gene/SkinLipidMetabolismGene
37574818|expert_2|1051|1056|abstract|PPAR-γ|gene|https://uts.nlm.nih.gov/uts/umls/concept/C0166417
37574818|expert_2|1059|1066|abstract|SREBP-1c|gene|https://uts.nlm.nih.gov/uts/umls/concept/C1420398
37574818|expert_2|1069|1072|abstract|FASN|gene|http://purl.obolibrary.org/obo/NCIT_C26564
37574818|expert_2|1078|1081|abstract|ATGL|gene|https://uts.nlm.nih.gov/uts/umls/concept/C1538686
37574818|expert_2|1087|1095|abstract|acne mice|animal|http://purl.obolibrary.org/obo/NCIT_C45247
37574818|expert_2|1103|1144|abstract|live and inactivated L. plantarum CCFM8661|bacteria|http://purl.obolibrary.org/obo/NCBITaxon_1591090
